"University Name","Root Domain","Financial Data Page","Example Direct PDF Link","Notes"
"University of Nottingham","www.nottingham.ac.uk","https://www.nottingham.ac.uk/fabs/finance/services/financialstatements/financialstatements.aspx","https://www.nottingham.ac.uk/fabs/finance/documents/financial-statements-2023-24.pdf","Includes 'Global Reviews' and financial data."
"University of Southampton","www.southampton.ac.uk","https://www.southampton.ac.uk/finance/services/financial-statements.page","https://www.southampton.ac.uk/~assets/doc/finance/financial-statements-2023-24.pdf","Lists statements from 2014 onwards."
"University of Exeter","www.exeter.ac.uk","https://www.exeter.ac.uk/departments/finance/aboutus/financialstatements/","https://www.exeter.ac.uk/media/universityofexeter/financeservices/pdfs/financialstatements/University_of_Exeter_Financial_Statements_2023-24.pdf","Also includes student finance summaries."
"University of York","www.york.ac.uk","https://www.york.ac.uk/staff/essentials/communications-marketing-brand/brand/corporate-publications/","https://www.york.ac.uk/media/staffhome/marketing/corporatepublications/annualreport/Annual-Report-Financial-Statements-2024.pdf","Listed under staff essentials/communications."
"Queen Mary University of London","www.qmul.ac.uk","https://www.qmul.ac.uk/governance-and-legal-services/governance/council/council-archive/","https://www.qmul.ac.uk/governance-and-legal-services/media/arcs/governance/council/council-archive/2023-24/2023-11-23/QM2023-23-Audited-financial-statements.pdf","Often found within Governance/Council archives."
"University of St Andrews","www.st-andrews.ac.uk","https://www.st-andrews.ac.uk/staff/money/financialstatements","https://www.st-andrews.ac.uk/assets/university/staff/documents/financial-statements/2023-24-financial-statements.pdf","Page requires navigating via staff/money section."
"University of Bath","www.bath.ac.uk","https://www.bath.ac.uk/corporate-information/consolidated-financial-statements-2023-24/","https://www.bath.ac.uk/publications/consolidated-financial-statements-2023-24/attachments/consolidated-financial-statements-2023-24.pdf","Detailed web page summary with PDF attachment."
"Lancaster University","www.lancaster.ac.uk","https://www.lancaster.ac.uk/finance/financial-statements/","https://www.lancaster.ac.uk/media/lancaster-university/content-assets/documents/finance/financial-statements/FinancialStatements2024.pdf","Archive available back to 2017."
"Cardiff University","www.cardiff.ac.uk","https://www.cardiff.ac.uk/public-information/corporate-information/financial-information","https://www.cardiff.ac.uk/__data/assets/pdf_file/0005/2792264/CU_AnnualReport2023.pdf","Includes investment portfolio information."
"University of Liverpool","www.liverpool.ac.uk","https://www.liverpool.ac.uk/professional-services/finance/","https://www.liverpool.ac.uk/media/livacuk/finance/financialstatements/Financial,Statements,2023-24.pdf","Located under Professional Services."
"Newcastle University","www.ncl.ac.uk","https://www.ncl.ac.uk/who-we-are/structure/transparency/","https://www.ncl.ac.uk/mediav8/freedom-of-information/files/23%20NU%20-%20Final%20signed%20accounts.pdf","'Transparency' page links to the full reports."
"Queen's University Belfast","www.qub.ac.uk","https://www.qub.ac.uk/directorates/FinanceDirectorate/visitors/financial-statements/","https://www.qub.ac.uk/directorates/FinanceDirectorate/FileStore/Filetoupload,1973052,en.pdf","Managed by the Finance Directorate."
"Loughborough University","www.lboro.ac.uk","https://www.lboro.ac.uk/services/finance/visitors/statements/","https://www.lboro.ac.uk/media/media/services/finance/assets/documents/Financial%20Statements%202023-24%20-%20Signed.pdf","Includes ethical investment policy."
"University of Aberdeen","www.abdn.ac.uk","https://www.abdn.ac.uk/staffnet/working-here/finance/annual-report--accounts/","https://www.abdn.ac.uk/staffnet/documents/Annual_Report_and_Accounts_2024.pdf","The main page is hosted on the 'StaffNet' section but is publicly accessible."
"University of Strathclyde","www.strath.ac.uk","https://www.strath.ac.uk/professionalservices/finance/generalinformation/financialstatements/","https://www.strath.ac.uk/media/ps/finance/financialstatements/Annual_Accounts_2023-24.pdf","Archive of accounts available back to 2008."
"University of Surrey","www.surrey.ac.uk","https://www.surrey.ac.uk/about/management/financial-statements","https://www.surrey.ac.uk/sites/default/files/2024-11/university-of-surrey-annual-report-and-financial-statements-2023-24.pdf","Includes a section on executive board expenses."
"University of Essex","www.essex.ac.uk","https://www1.essex.ac.uk/documents/financial-statements/2023-24/default.aspx","https://www1.essex.ac.uk/documents/financial-statements/2023-24/financial-statements-2023-24.pdf","The page provides a digital summary alongside the PDF download."
"Brunel University London","www.brunel.ac.uk","https://www.brunel.ac.uk/about/information/financial-statements","https://www.brunel.ac.uk/about/documents/pdf/financial-statements/Financial-Statements-2023-24.pdf","Lists reports from the last decade."
"Aston University","www.aston.ac.uk","https://www.aston.ac.uk/about/statutes-ordinances-regulations/publication-scheme/governance-compliance/annual-statements","https://www.aston.ac.uk/sites/default/files/2024-11/annual-statement-2023-2024.pdf","Located under Governance and Compliance."
"SOAS University of London","www.soas.ac.uk","https://www.soas.ac.uk/about/governance/financial-information","https://www.soas.ac.uk/sites/default/files/2024-11/Financial-statements-2023-24.pdf","Includes archived reports back to 2012."
"University of Stirling","www.stir.ac.uk","https://www.stir.ac.uk/about/professional-services/finance-office/financial-statements/","https://www.stir.ac.uk/media/stirling/services/finance/documents/financial-statements/Financial-statement-2023-24.pdf","Managed by the Finance Office professional services team."
"Heriot-Watt University","www.hw.ac.uk","https://www.hw.ac.uk/about/profile/publications","https://www.hw.ac.uk/documents/annual-report-accounts-2024.pdf","The landing page also hosts the university's strategic plan."
"Manchester Metropolitan University","www.mmu.ac.uk","https://www.mmu.ac.uk/about-us/professional-services/finance-and-procurement/financial-statement","https://www.mmu.ac.uk/sites/default/files/2024-11/Annual-Report-and-Financial-Statements-2023-24.pdf","Includes a 'Value for Money' statement."
"University of Reading","www.reading.ac.uk","https://www.reading.ac.uk/finance/university-accounts","https://www.reading.ac.uk/web/files/finance/Financial_Statements_2023-24.pdf","Also includes details on endowment fund valuations."
"Royal Holloway, Univ. of London","www.royalholloway.ac.uk","https://www.royalholloway.ac.uk/about-us/more/financial-information/","https://intranet.royalholloway.ac.uk/staff/assets/docs/pdf/finance/financial-statements-2023-24.pdf","Provides a breakdown of income sources on the landing page."
"University of Leicester","www.le.ac.uk","https://le.ac.uk/finance/financial-statements","https://le.ac.uk/-/media/uol/docs/finance/financial-statements-2023-24.pdf","Archive available back to 2009."
"University of Kent","www.kent.ac.uk","https://www.kent.ac.uk/finance/financial-statements","https://media.www.kent.ac.uk/se/9780/financial-statements-2023-2024.pdf","Simple directory listing of PDF files."
"Swansea University","www.swansea.ac.uk","https://www.swansea.ac.uk/finance/financial-statements/","https://www.swansea.ac.uk/media/Annual-Report-and-Financial-Statements-2023-24.pdf","Bilingual (Welsh/English) reports are usually available."
"University of East Anglia (UEA)","www.uea.ac.uk","https://www.uea.ac.uk/about/financial-statements","https://www.uea.ac.uk/documents/20142/0/Financial+Statements+2023-24.pdf","Located under the 'About' section."
"University of Dundee","www.dundee.ac.uk","https://www.dundee.ac.uk/corporate-information/financial-statements","https://www.dundee.ac.uk/corporate/Financial_Statements_2024.pdf","Includes a summary of the financial strategy."
"University of Hull","www.hull.ac.uk","https://www.hull.ac.uk/about/governance/annual-report","https://www.hull.ac.uk/editor-assets/docs/annual-report-and-financial-statements-2023-24.pdf","Found in the Governance section."
"Ulster University","www.ulster.ac.uk","https://www.ulster.ac.uk/finance/financial-statements","https://www.ulster.ac.uk/__data/assets/pdf_file/0003/1567407/Financial-Statements-2023-24.pdf","Northern Ireland's largest university."
"Aberystwyth University","www.aber.ac.uk","https://www.aber.ac.uk/en/finance/financial-statements/","https://www.aber.ac.uk/en/media/departmental/finance/financialstatements/Financial-Statements-2023-24.pdf","Includes historical data back to 1996."
"Birkbeck, University of London","www.bbk.ac.uk","https://www.bbk.ac.uk/professional-services/finance/financial-statements","https://www.bbk.ac.uk/downloads/financial-statements/2023-24-financial-statements.pdf","Notes that statements are published every autumn."
"Keele University","www.keele.ac.uk","https://www.keele.ac.uk/finance/accounts/","https://www.keele.ac.uk/media/keeleuniversity/finance/accounts/Statement%20of%20Accounts%202023-2024.pdf","The page also lists insurance and fraud policies."
"Oxford Brookes University","www.brookes.ac.uk","https://www.brookes.ac.uk/about-brookes/structure-and-governance/financial-statements","https://www.brookes.ac.uk/getmedia/financial-statements-2023-24.pdf","Found under Structure and Governance."
"University of Plymouth","www.plymouth.ac.uk","https://www.plymouth.ac.uk/about-us/university-governance/annual-report-and-accounts","https://www.plymouth.ac.uk/uploads/production/document/path/23/23678/Annual_Report_and_Accounts_2024.pdf","Includes modern slavery statements."
"University of Portsmouth","www.port.ac.uk","https://www.port.ac.uk/about-us/structure-and-governance/financial-statements","https://www.port.ac.uk/-/media/files/financial-statements/financial-statements-2023-24.pdf","Archive available back to 2012."
"University of Sussex","www.sussex.ac.uk","https://www.sussex.ac.uk/finance/","https://www.sussex.ac.uk/webteam/gateway/file.php?name=university-of-sussex-consolidated-financial-statements-2024.pdf&site=262","The Finance Division page acts as the central hub for resources and regulations."
"Northumbria University","www.northumbria.ac.uk","https://www.northumbria.ac.uk/about-us/financial-performance/financial-statements/","https://www.northumbria.ac.uk/mediav8/freedom-of-information/files/24%20NU%20-%20Final%20signed%20accounts.pdf","Includes a clear list of annual reports dating back to 2011."
"University of the Arts London (UAL)","www.arts.ac.uk","https://www.arts.ac.uk/about-ual/strategy-and-governance/annual-reports","https://www.arts.ac.uk/__data/assets/pdf_file/0034/448828/UAL-Annual-Report-and-Accounts-2023-24.pdf","Page includes annual reports and ethnicity pay gap data."
"University of Westminster","www.westminster.ac.uk","https://www.westminster.ac.uk/about-us/our-university/corporate-information/policies-and-documents-a-z/annual-reporting","https://www.westminster.ac.uk/sites/default/media_files/Financial-Statements-2024.pdf","Also lists gender pay gap and sustainability reports."
"Sheffield Hallam University","www.shu.ac.uk","https://www.shu.ac.uk/about-us/governance-and-strategy/university-performance","https://www.shu.ac.uk/-/media/home/about-us/governance-and-strategy/university-performance/shu_financial_statements_2023_final_signed.pdf","Recent reports may also be found via the 'Governance and Strategy' section."
"Liverpool John Moores University","www.ljmu.ac.uk","https://www.ljmu.ac.uk/about-us/public-information/financial-information","https://www.ljmu.ac.uk/~/media/files/ljmu/about-us/public-information/financial-information/financial-statements-2022-23.pdf","Contains statements from 2014 onwards."
"Bangor University","www.bangor.ac.uk","https://www.bangor.ac.uk/annual-report","https://www.bangor.ac.uk/sites/default/files/2024-02/Financial%20Statements%2022-23_0.pdf","Includes transparency statements on how fees are spent."
"University of Brighton","www.brighton.ac.uk","https://www.brighton.ac.uk/about-us/structure-and-governance/financial-statements/index.aspx","https://www.brighton.ac.uk/_pdf/about-us/structure-and-governance/financial-statements/financial-statements-2022-23.pdf","Located under Structure and Governance."
"Goldsmiths, Univ. of London","www.gold.ac.uk","https://www.gold.ac.uk/governance/financial-reports/","https://www.gold.ac.uk/media/docs/governance/Financial-Statements-2023-24.pdf","Provides a detailed breakdown of income and expenditure on the landing page."
"University of Hertfordshire","www.herts.ac.uk","https://www.herts.ac.uk/about-us/our-leadership-strategy-and-plans/corporate-publications","https://www.herts.ac.uk/__data/assets/pdf_file/0010/386290/Strategic-Report-and-Financial-Statements-2023-24.pdf","Includes the 'Powering Impact Report'."
"University of Greenwich","www.gre.ac.uk","https://www.gre.ac.uk/about-us/governance/finances","https://docs.gre.ac.uk/__data/assets/pdf_file/0023/336308/financial-statements-2022-23.pdf","Page includes a link to the 'Modern Slavery Statement'."
"Middlesex University","www.mdx.ac.uk","https://www.mdx.ac.uk/about-us/corporate-documents","https://www.mdx.ac.uk/__data/assets/pdf_file/0024/706560/MDX_Financial-Statements_22_23_Stage-35_Accessible-version_April-2024.pdf","Accessible versions of the documents are prioritised."
"Kingston University","www.kingston.ac.uk","https://www.kingston.ac.uk/about/governance/legal-framework","https://www.kingston.ac.uk/about/governance/legal-framework/documents/financial-statements-2023-2024.pdf","The financial statement is listed under the governance section."
"University of Salford","www.salford.ac.uk","https://www.salford.ac.uk/corporate-information/university-finances","https://www.salford.ac.uk/sites/default/files/2024-12/financial-statements-2023-24.pdf","Offers a 'Finances at a Glance' summary."
"University of Huddersfield","www.hud.ac.uk","https://www.hud.ac.uk/about/governance/financial-statements/","https://www.hud.ac.uk/media/assets/document/about/financialstatements/FinancialStatements2023.pdf","Audited by independent external auditors."
"University of Lincoln","www.lincoln.ac.uk","https://finance.blogs.lincoln.ac.uk/financial-statements/","https://finance.blogs.lincoln.ac.uk/files/2024/11/Financial-Statements-2023-24.pdf","Archive available electronically from 2008/09."
"University of Bradford","www.bradford.ac.uk","https://www.bradford.ac.uk/about/legal-and-governance/policies-statements/financial-statements/","https://www.bradford.ac.uk/about/legal-and-governance/policies-statements/financial-statements/Annual-Report-and-Financial-Statements-2023-24.pdf","Listed under 'Legal and Governance'."
"Coventry University","www.coventry.ac.uk","https://www.coventry.ac.uk/the-university/financial-information/","https://www.coventry.ac.uk/globalassets/media/global/08-new-about-us/financial-statements/financial-statements-2023.pdf","Includes information on the capital programme."
"Nottingham Trent University","www.ntu.ac.uk","https://www.ntu.ac.uk/about-us/governance/financial-information","https://www.ntu.ac.uk/__data/assets/pdf_file/0034/1879333/Financial-Statement-2024.pdf","Includes financial infographics."
"University of West London","www.uwl.ac.uk","https://www.uwl.ac.uk/about-us/finance-and-insurance","https://www.uwl.ac.uk/sites/default/files/2024-02/Annual_Report_and_Financial_Statements_2022-23.pdf","Includes a clear list of legacy reports."
"De Montfort University","www.dmu.ac.uk","https://www.dmu.ac.uk/about-dmu/governance/financial-information/financial-information.aspx","https://www.dmu.ac.uk/documents/about-dmu-documents/governance/financial-information/financial-statements-2022-23.pdf","Provides statements for the last five years."
"Glasgow Caledonian University","www.gcu.ac.uk","https://www.gcu.ac.uk/aboutgcu/governance/financialstatements","https://www.gcu.ac.uk/__data/assets/pdf_file/0031/119938/GCU-Financial-Statements-2022-23-Signed.pdf","Scotland-based modern university."
"UWE Bristol","www.uwe.ac.uk","https://www.uwe.ac.uk/about/structure-and-governance/financial-information","https://www.uwe.ac.uk/-/media/uwe/documents/about/structure-and-governance/financial-information/financial-statements-2023-24.pdf","Distinction: 'University of the West of England', separate from Univ. of Bristol."
"City St George's, University of London","www.city.ac.uk","https://www.city.ac.uk/about/governance/finance/financial-statements","https://www.city.ac.uk/__data/assets/pdf_file/0011/799670/Financial-Statements-2023-24.pdf","Recently merged institution; financial data may reflect the pre-merger entity."
"Anglia Ruskin University (ARU)","www.aru.ac.uk","https://www.aru.ac.uk/about-us/governance/annual-report-and-accounts","https://www.aru.ac.uk/-/media/files/corporate-documents/annual-report-and-accounts-2023-24.pdf","Page also lists 'Impact Statements'."
"Bournemouth University","www.bournemouth.ac.uk","https://www.bournemouth.ac.uk/about/governance/financial-statements","https://www.bournemouth.ac.uk/sites/default/files/asset/document/Financial-Statements-2023-24.pdf","Includes a clear archive of past statements."
"University of Sunderland","www.sunderland.ac.uk","https://www.sunderland.ac.uk/about/corporate/financial-statements/","https://www.sunderland.ac.uk/more/services-and-support/finance/financial-statements/Financial-Statements-2022-23.pdf","Also publishes an EDI Annual Report."
"University of Central Lancashire (UCLan)","www.uclan.ac.uk","https://www.uclan.ac.uk/corporate-information/financial-statements","https://www.uclan.ac.uk/assets/docs/financial-statements-2023.pdf","Listed under Corporate Information."
"Leeds Beckett University","www.leedsbeckett.ac.uk","https://www.leedsbeckett.ac.uk/about-us/governance/financial-information/","https://www.leedsbeckett.ac.uk/-/media/files/our-university/financial-statements/financial-statements-2022-23.pdf","Includes detailed strategic and operational reviews."
"Birmingham City University","www.bcu.ac.uk","https://www.bcu.ac.uk/about-us/corporate-information/annual-report","https://www.bcu.ac.uk/media-assets/media/files/about-us/corporate-information/financial-statements-2023-24.pdf","Found in the 'About Us' section."
"University of Wolverhampton","www.wlv.ac.uk","https://www.wlv.ac.uk/about-us/governance/financial-statements/","https://www.wlv.ac.uk/media/departments/office-of-the-vice-chancellor/documents/Financial-Statements-2022-23-FINAL-SIGNED.pdf","Archive available back to 2008."
"University of Derby","www.derby.ac.uk","https://www.derby.ac.uk/about/governance/financial-statements/","https://www.derby.ac.uk/media/derbyacuk/contentassets/documents/aboutus/financial-statements/Derby-University-Consolidated-Financial-Statements-Year-Ended-31-July-2024-(Signed).pdf","Also lists subcontractor payment data."
"Staffordshire University","www.staffs.ac.uk","https://www.staffs.ac.uk/about/governance/financial-statements","https://www.staffs.ac.uk/about/governance/financial-statements/financial-statements-2022-23.pdf","Published as an 'Annual Review and Financial Statement'."
"London Metropolitan University","www.londonmet.ac.uk","https://www.londonmet.ac.uk/about/corporate-information/finance/","https://www.londonmet.ac.uk/media/london-metropolitan-university/london-met-documents/professional-service-departments/finance/financial-statements/London-Metropolitan-University-Annual-Report-and-Accounts-31-July-2023_Signed.pdf","Includes subsidiary company accounts."
"University of East London (UEL)","www.uel.ac.uk","https://www.uel.ac.uk/about/professional-services/finance","https://www.uel.ac.uk/sites/default/files/2023-12/uel-annual-report-financial-statements-2022-23.pdf","Managed by the 'Income and Credit Control' team."
"London South Bank University","www.lsbu.ac.uk","https://www.lsbu.ac.uk/about-us/professional-services/finance-procurement","https://www.lsbu.ac.uk/__data/assets/pdf_file/0019/374032/financial-statements-2023.pdf","Page also details executive expenses."
"University of Roehampton","www.roehampton.ac.uk","https://www.roehampton.ac.uk/corporate-information/finance/","https://www.roehampton.ac.uk/globalassets/documents/corporate-information/finance/annual-report-and-financial-statements-2022-23.pdf","Includes Trade Union Facility Time reports."
"University of Chester","www.chester.ac.uk","https://www.chester.ac.uk/about/facts-figures/financial-statements/","https://www.chester.ac.uk/media/media/documents/Financial_Statements_for_Year_Ended_31_July_2023_-_Signed.pdf","Archive available back to 2007."
"Edge Hill University","www.edgehill.ac.uk","https://www.edgehill.ac.uk/about/governance/financial-statements/","https://www.edgehill.ac.uk/wp-content/uploads/documents/2023-Financial-Statements-Edge-Hill-University-KPMG-Signed.pdf","Includes key performance indicators in the report."
"University of Winchester","www.winchester.ac.uk","https://www.winchester.ac.uk/about-us/leadership-and-governance/public-documents/","https://www.winchester.ac.uk/media/content-assets/documents/Annual-Report-and-Financial-Statements-2023-24.pdf","Found under 'Leadership and Governance'."
"University of Chichester","www.chi.ac.uk","https://www.chi.ac.uk/about-us/policies-and-statements/finance/","https://www.chi.ac.uk/app/uploads/2024/12/Annual-Report-and-Financial-Statements-2023-24.pdf","Maintains an archive of annual reports."
"Robert Gordon University","www.rgu.ac.uk","https://www.rgu.ac.uk/about/financial-information-statements","https://www.rgu.ac.uk/images/about/finance/RGU_Annual_Report__Financial_Statements_-_Year_Ending_31_July_2024.pdf","Includes senior management expenses."
"Edinburgh Napier University","www.napier.ac.uk","https://www.napier.ac.uk/about-us/university-governance/financial-statements","https://www.napier.ac.uk/~/media/napiersite/files/aboutus/university-court/financial-statements/napier-university-financial-statements-2023.pdf","Lists court minutes alongside financial data."
"Falmouth University","www.falmouth.ac.uk","https://www.falmouth.ac.uk/corporate-information/finance","https://www.falmouth.ac.uk/sites/default/files/stream/falmouth_university_annual_report_and_accounts_for_the_year_ended_31_july_2023_signed.pdf","Specialist arts institution in Cornwall."
"Arts University Bournemouth","www.aub.ac.uk","https://aub.ac.uk/legal/financial-statements","https://aub.ac.uk/media/AUB-Financial-Statements-Year-Ended-31-July-2023.pdf","Page includes 'Public Benefit Statement'."
"University of Gloucestershire","www.glos.ac.uk","https://www.glos.ac.uk/information/financial-statements/","https://www.glos.ac.uk/information/wp-content/uploads/2024/01/financial-statements-2022-2023.pdf","Includes Trade Union facility time data."
"University of Worcester","www.worcester.ac.uk","https://www.worcester.ac.uk/about/financial-information/","https://www.worcester.ac.uk/documents/financial-statements-2022-23.pdf","Also lists the university's tax strategy."
"The Open University","www.open.ac.uk","https://www.open.ac.uk/about/main/strategy-and-policies/annual-report","https://www.open.ac.uk/about/main/sites/www.open.ac.uk.about.main/files/files/Annual-Report-and-Accounts-2024.pdf","The UK's largest academic institution by student number (distance learning)."
"Cranfield University","www.cranfield.ac.uk","https://www.cranfield.ac.uk/about/governance/annual-report-and-accounts","https://www.cranfield.ac.uk/-/media/files/annual-report-and-accounts-2024.pdf","A specialist postgraduate-only university."
"Teesside University","www.tees.ac.uk","https://www.tees.ac.uk/sections/about/corporate_info/financial_statements.cfm","https://www.tees.ac.uk/docs/DocRepo/Corporate%20info/Financial_Statements/Teesside_University_Annual_Report_and_Accounts_2023-24.pdf","Lists reports dating back to 2005."
"University of South Wales","www.southwales.ac.uk","https://www.southwales.ac.uk/about/financial-statements","https://www.southwales.ac.uk/media/files/University_of_South_Wales_Group_Annual_Report_and_Accounts_2022-2023.pdf","Formed from the merger of Glamorgan and Newport."
"Cardiff Metropolitan University","www.cardiffmet.ac.uk","https://www.cardiffmet.ac.uk/about/structureandgovernance/Pages/Annual-Report-and-Financial-Statements.aspx","https://www.cardiffmet.ac.uk/about/structureandgovernance/Documents/Annual%20Report%20Financial%20Statements%202022-23.pdf","Includes specific reports on carbon management."
"University of the West of Scotland","www.uws.ac.uk","https://www.uws.ac.uk/about-uws/services-for-staff/finance/financial-statements/","https://www.uws.ac.uk/media/9682/financial-statements-2023-24.pdf","Multi-campus university in western Scotland."
"University of Northampton","www.northampton.ac.uk","https://www.northampton.ac.uk/about-us/governance-and-management/financial-statements/","https://www.northampton.ac.uk/wp-content/uploads/2024/02/Financial-Statements-2023-Final-Signed.pdf","Located on the new Waterside Campus."
"University of Bedfordshire","www.beds.ac.uk","https://www.beds.ac.uk/about-us/corporate-information/financial-information/","https://www.beds.ac.uk/media/2yob5g4d/uob-financial-statements-22-23-final-signed.pdf","Provides a clear archive of PDFs."
"Canterbury Christ Church University","www.canterbury.ac.uk","https://www.canterbury.ac.uk/about-us/policies-and-procedures/finance-and-procurement/financial-statements","https://www.canterbury.ac.uk/contentassets/e148099b1e0f4d76a33000d2767b7302/signed-financial-statements-2022-23.pdf","Includes the 'Prevent Duty' annual report."
"Solent University","www.solent.ac.uk","https://www.solent.ac.uk/about/corporate-information/financial-information","https://www.solent.ac.uk/about/documents/corporate-publications/financial-statements-2023.pdf","Based in Southampton, distinct from Univ. of Southampton."
"University of Cumbria","www.cumbria.ac.uk","https://www.cumbria.ac.uk/about/organisation/professional-services/finance/financial-statements/","https://www.cumbria.ac.uk/media/university-of-cumbria-website/content-assets/public/finance/documents/Annual-Report-and-Financial-Statements-2022-23.pdf","Multi-campus institution including sites in the Lake District."
"Buckinghamshire New University","www.bucks.ac.uk","https://www.bucks.ac.uk/about-us/governance-and-policies/official-documents/financial-statements","https://www.bucks.ac.uk/sites/default/files/2024-01/Financial%20statements%202022-23.pdf","Often referred to as BNU."
"York St John University","www.yorksj.ac.uk","https://www.yorksj.ac.uk/about-us/governance-and-management/financial-statements/","https://www.yorksj.ac.uk/media/content-assets/corporate-services/finance/documents/Annual-Report-and-Financial-Statements-31-July-2023.pdf","Distinct from the University of York."
"Liverpool Hope University","www.hope.ac.uk","https://www.hope.ac.uk/aboutus/governance/financialinformation/","https://www.hope.ac.uk/media/governance/financialstatements/Consolidated%20Financial%20Statements%20Year%20Ended%2031%20July%2023.pdf","Ecumenical Christian foundation."
"Royal Veterinary College (RVC)","www.rvc.ac.uk","https://www.rvc.ac.uk/about/the-rvc/governance-policy-and-legal/financial-statements","https://www.rvc.ac.uk/Media/Default/About/Governance%20Policy%20and%20Legal/RVC-annual-report-2022-23-signed.pdf","Part of the University of London."
"Harper Adams University","www.harper-adams.ac.uk","https://www.harper-adams.ac.uk/general/governance/financial-statements","https://www.harper-adams.ac.uk/general/governance/files/financial-statements/Financial-Statements-2022-23.pdf","Specialist agricultural university."
"Royal Agricultural University","www.rau.ac.uk","https://www.rau.ac.uk/about/organisation/public-information/financial-statements","https://www.rau.ac.uk/sites/default/files/2024-01/RAU%20Financial%20Statements%202022-23.pdf","Based in Cirencester; formerly the Royal Agricultural College."
"Abertay University","www.abertay.ac.uk","https://www.abertay.ac.uk/about/governance/financial-statements/","https://www.abertay.ac.uk/media/5k4l5b5d/annual-report-financial-statements-2023.pdf","Located in Dundee, known for video game design."
"Queen Margaret University","www.qmu.ac.uk","https://www.qmu.ac.uk/about-the-university/corporate-information/financial-statements/","https://www.qmu.ac.uk/media/jrvpm3m3/qmu-financial-statements-2023-signed.pdf","Edinburgh-based institution."
"University of the Highlands and Islands","www.uhi.ac.uk","https://www.uhi.ac.uk/en/about-uhi/governance/financial-statements/","https://www.uhi.ac.uk/en/t4-media/one-web/university/about-uhi/governance/docs/financial-statements/Financial-Statements-for-the-year-ended-31-July-2023.pdf","Unique collegiate partnership across the Highlands."
